  
       XFOIL         Version 6.99
  
 Calculated polar for: WORTMANN FX 3 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.525 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   1.000   0.1357   0.03749   0.02441  -0.0496   0.7601   0.7338  40.1331 257.4158
   1.000   0.1357   0.03749   0.02441  -0.0496   0.7601   0.7338  40.1333 257.4157
   1.000   0.1357   0.03749   0.02441  -0.0496   0.7601   0.7338  40.1332 257.4159
   1.000   0.1357   0.03749   0.02441  -0.0496   0.7601   0.7338  40.1332 257.4159
   1.000   0.1357   0.03749   0.02441  -0.0496   0.7601   0.7338  40.1332 257.4159
   2.000   0.1945   0.03745   0.02343  -0.0357   0.7486   0.7686  41.8032 261.4353
   2.000   0.1945   0.03745   0.02343  -0.0357   0.7486   0.7686  41.8030 261.4358
   2.000   0.1945   0.03745   0.02343  -0.0357   0.7486   0.7686  41.8030 261.4357
   2.000   0.1945   0.03745   0.02343  -0.0357   0.7486   0.7686  41.8030 261.4357
   2.000   0.1945   0.03745   0.02343  -0.0357   0.7486   0.7686  41.8030 261.4357
   3.000   0.3131   0.03619   0.02158  -0.0393   0.7412   0.7840  42.8747 263.1758
   3.000   0.3131   0.03619   0.02158  -0.0393   0.7412   0.7840  42.8747 263.1758
   3.000   0.3131   0.03619   0.02158  -0.0393   0.7412   0.7840  42.8747 263.1758
   3.000   0.3131   0.03619   0.02158  -0.0393   0.7412   0.7840  42.8747 263.1758
   4.000   0.4253   0.03455   0.01937  -0.0410   0.7337   0.7945  43.9619 264.3640
   4.000   0.4253   0.03455   0.01937  -0.0410   0.7337   0.7945  43.9618 264.3640
   4.000   0.4253   0.03455   0.01937  -0.0410   0.7337   0.7945  43.9618 264.3640
   4.000   0.4253   0.03455   0.01937  -0.0410   0.7337   0.7945  43.9618 264.3640
   4.000   0.4253   0.03455   0.01937  -0.0410   0.7337   0.7945  43.9618 264.3640
   5.000   0.6465   0.03303   0.01774  -0.0750   0.7232   0.7557  45.4324 259.9673
   5.000   0.6465   0.03303   0.01774  -0.0750   0.7232   0.7557  45.4323 259.9673
   5.000   0.6465   0.03303   0.01774  -0.0750   0.7232   0.7557  45.4323 259.9673
   5.000   0.6465   0.03303   0.01774  -0.0750   0.7232   0.7557  45.4323 259.9673
   5.000   0.6465   0.03303   0.01774  -0.0750   0.7232   0.7557  45.4323 259.9673
   6.000   0.6404   0.03142   0.01496  -0.0437   0.7068   0.8206  47.6300 267.3232
   6.000   0.6404   0.03142   0.01496  -0.0437   0.7068   0.8206  47.6299 267.3232
   6.000   0.6404   0.03142   0.01496  -0.0437   0.7068   0.8206  47.6299 267.3232
   6.000   0.6404   0.03142   0.01496  -0.0437   0.7068   0.8206  47.6299 267.3232
   6.000   0.6404   0.03142   0.01496  -0.0437   0.7068   0.8206  47.6299 267.3232
   7.000   0.9366   0.02806   0.01181  -0.0933   0.6715   0.7468  51.9945 258.9367
   7.000   0.9366   0.02806   0.01181  -0.0933   0.6715   0.7468  51.9944 258.9368
   7.000   0.9366   0.02806   0.01181  -0.0933   0.6715   0.7468  51.9944 258.9368
   7.000   0.9366   0.02806   0.01181  -0.0933   0.6715   0.7468  51.9944 258.9368
   7.000   0.9366   0.02806   0.01181  -0.0933   0.6715   0.7468  51.9944 258.9368
   8.000   1.0594   0.02570   0.00795  -0.0962   0.5106   0.7448  70.0075 258.7032
   8.000   1.0594   0.02570   0.00795  -0.0962   0.5106   0.7448  70.0097 258.7033
   8.000   1.0594   0.02570   0.00795  -0.0962   0.5106   0.7448  70.0097 258.7033
   8.000   1.0594   0.02570   0.00795  -0.0962   0.5106   0.7448  70.0097 258.7033
   8.000   1.0594   0.02570   0.00795  -0.0962   0.5106   0.7448  70.0097 258.7033
   9.000   1.0697   0.03162   0.01037  -0.0856   0.2771   0.7419  95.9053 258.3611
   9.000   1.0697   0.03162   0.01037  -0.0856   0.2771   0.7419  95.9052 258.3611
   9.000   1.0697   0.03162   0.01037  -0.0856   0.2771   0.7418  95.9052 258.3611
   9.000   1.0697   0.03162   0.01037  -0.0856   0.2771   0.7418  95.9052 258.3611
   9.000   1.0697   0.03162   0.01037  -0.0856   0.2771   0.7418  95.9052 258.3611
  10.000   1.1173   0.03659   0.01242  -0.0817   0.1091   0.7394 115.5633 258.0742
  10.000   1.1173   0.03659   0.01242  -0.0817   0.1091   0.7394 115.5635 258.0741
  10.000   1.1173   0.03659   0.01242  -0.0817   0.1091   0.7394 115.5635 258.0740
  10.000   1.1173   0.03659   0.01242  -0.0817   0.1091   0.7394 115.5635 258.0740
  10.000   1.1173   0.03659   0.01242  -0.0817   0.1091   0.7394 115.5635 258.0740
  11.000   1.1743   0.04087   0.01430  -0.0784   0.0410   0.7380 125.7749 257.9143
  11.000   1.1743   0.04087   0.01430  -0.0784   0.0410   0.7380 125.7751 257.9143
  11.000   1.1743   0.04087   0.01430  -0.0784   0.0410   0.7380 125.7751 257.9143
  11.000   1.1743   0.04087   0.01430  -0.0784   0.0410   0.7380 125.7751 257.9143
  11.000   1.1743   0.04087   0.01430  -0.0784   0.0410   0.7380 125.7751 257.9143
  12.000   1.2233   0.04595   0.01709  -0.0741   0.0227   0.7370 130.7288 257.7966
  12.000   1.2233   0.04595   0.01709  -0.0741   0.0227   0.7370 130.7289 257.7967
  12.000   1.2233   0.04595   0.01709  -0.0741   0.0227   0.7370 130.7289 257.7966
  12.000   1.2233   0.04595   0.01709  -0.0741   0.0227   0.7370 130.7289 257.7966
  12.000   1.2233   0.04595   0.01709  -0.0741   0.0227   0.7370 130.7289 257.7966
  13.000   1.2663   0.05197   0.02088  -0.0701   0.0184   0.7362 132.3790 257.7020
  13.000   1.2663   0.05197   0.02088  -0.0701   0.0184   0.7362 132.3791 257.7019
  13.000   1.2663   0.05197   0.02088  -0.0701   0.0184   0.7362 132.3791 257.7018
  13.000   1.2663   0.05197   0.02088  -0.0701   0.0184   0.7362 132.3791 257.7018
  13.000   1.2663   0.05197   0.02088  -0.0701   0.0184   0.7362 132.3791 257.7018
  14.000   1.3010   0.05916   0.02576  -0.0663   0.0159   0.7356 133.4977 257.6229
  14.000   1.3010   0.05916   0.02576  -0.0663   0.0159   0.7356 133.4978 257.6230
  14.000   1.3010   0.05916   0.02576  -0.0663   0.0159   0.7356 133.4978 257.6229
  14.000   1.3010   0.05916   0.02576  -0.0663   0.0159   0.7356 133.4978 257.6229
  14.000   1.3010   0.05916   0.02576  -0.0663   0.0159   0.7356 133.4978 257.6229
  15.000   1.3300   0.06736   0.03162  -0.0631   0.0141   0.7348 134.3665 257.5277
  15.000   1.3300   0.06736   0.03162  -0.0631   0.0141   0.7347 134.3664 257.5277
  15.000   1.3300   0.06736   0.03162  -0.0631   0.0141   0.7348 134.3664 257.5277
  15.000   1.3300   0.06736   0.03162  -0.0631   0.0141   0.7348 134.3664 257.5277
  15.000   1.3300   0.06736   0.03162  -0.0631   0.0141   0.7348 134.3664 257.5277
  16.000   1.3561   0.07617   0.03811  -0.0609   0.0128   0.7341 135.0602 257.4508
  16.000   1.3561   0.07617   0.03811  -0.0609   0.0128   0.7341 135.0601 257.4507
  16.000   1.3561   0.07616   0.03811  -0.0609   0.0128   0.7341 135.0601 257.4508
  16.000   1.3561   0.07616   0.03811  -0.0609   0.0128   0.7341 135.0601 257.4508
  16.000   1.3561   0.07616   0.03811  -0.0609   0.0128   0.7341 135.0601 257.4508
  17.000   1.3797   0.08586   0.04601  -0.0600   0.0117   0.7336 135.7288 257.3892
  17.000   1.3797   0.08586   0.04601  -0.0600   0.0117   0.7336 135.7288 257.3892
  17.000   1.3797   0.08586   0.04601  -0.0600   0.0117   0.7336 135.7288 257.3893
