  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 66-021 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   1.000  -0.0230   0.03142   0.02202   0.0199   0.7448   0.7778  43.9872 260.0577
   1.000  -0.0230   0.03142   0.02202   0.0199   0.7448   0.7778  43.9872 260.0578
   1.000  -0.0230   0.03142   0.02202   0.0199   0.7448   0.7778  43.9872 260.0578
   1.000  -0.0230   0.03142   0.02202   0.0199   0.7448   0.7778  43.9872 260.0578
   1.000  -0.0230   0.03142   0.02202   0.0199   0.7448   0.7778  43.9872 260.0578
   2.000   0.0125   0.03099   0.02137   0.0303   0.7248   0.7850  45.8744 260.7093
   2.000   0.0125   0.03099   0.02137   0.0303   0.7248   0.7850  45.8743 260.7092
   2.000   0.0125   0.03099   0.02137   0.0303   0.7248   0.7850  45.8743 260.7092
   2.000   0.0125   0.03099   0.02137   0.0303   0.7248   0.7850  45.8743 260.7092
   2.000   0.0125   0.03099   0.02137   0.0303   0.7248   0.7850  45.8743 260.7092
   3.000   0.1139   0.02954   0.01964   0.0292   0.7121   0.7901  47.0837 261.1707
   3.000   0.1139   0.02954   0.01964   0.0292   0.7121   0.7901  47.0837 261.1706
   3.000   0.1139   0.02954   0.01964   0.0292   0.7121   0.7901  47.0837 261.1706
   3.000   0.1139   0.02954   0.01964   0.0292   0.7121   0.7901  47.0837 261.1706
   3.000   0.1139   0.02954   0.01964   0.0292   0.7121   0.7901  47.0837 261.1706
   4.000   0.2155   0.02858   0.01835   0.0290   0.6949   0.7938  48.7652 261.5072
   4.000   0.2155   0.02858   0.01835   0.0290   0.6949   0.7938  48.7651 261.5071
   4.000   0.2155   0.02858   0.01835   0.0290   0.6949   0.7938  48.7650 261.5071
   4.000   0.2155   0.02858   0.01835   0.0290   0.6949   0.7938  48.7650 261.5071
   4.000   0.2155   0.02858   0.01835   0.0290   0.6949   0.7938  48.7650 261.5071
   6.000   0.6189   0.01730   0.00839   0.0035   0.6728   0.7989  50.9617 261.9711
   6.000   0.6189   0.01730   0.00839   0.0035   0.6728   0.7989  50.9617 261.9710
   6.000   0.6189   0.01730   0.00839   0.0035   0.6728   0.7989  50.9617 261.9711
   6.000   0.6189   0.01730   0.00839   0.0035   0.6728   0.7989  50.9617 261.9711
   6.000   0.6189   0.01730   0.00839   0.0035   0.6728   0.7989  50.9617 261.9711
   7.000   0.6133   0.01808   0.00753   0.0210   0.6057   0.8051  58.0068 262.5322
   7.000   0.6133   0.01808   0.00753   0.0210   0.6057   0.8051  58.0071 262.5323
   7.000   0.6133   0.01808   0.00753   0.0210   0.6057   0.8051  58.0072 262.5322
