  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 16-021                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.275 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.0000   0.03671   0.02462   0.0000   0.8585   0.8585  30.8857 270.1134
   0.000  -0.0000   0.03671   0.02462   0.0000   0.8585   0.8585  30.8854 270.1147
   0.000   0.0000   0.03671   0.02462  -0.0000   0.8585   0.8585  30.8854 270.1146
   0.000  -0.0000   0.03671   0.02462  -0.0000   0.8585   0.8585  30.8854 270.1146
   0.000  -0.0000   0.03671   0.02462   0.0000   0.8585   0.8585  30.8854 270.1146
   1.000   0.1051   0.03688   0.02477  -0.0012   0.8433   0.8692  32.5815 271.3238
   1.000   0.1051   0.03688   0.02477  -0.0012   0.8433   0.8692  32.5813 271.3241
   1.000   0.1051   0.03688   0.02477  -0.0012   0.8433   0.8692  32.5813 271.3241
   1.000   0.1051   0.03688   0.02477  -0.0012   0.8433   0.8692  32.5813 271.3241
   1.000   0.1051   0.03688   0.02477  -0.0012   0.8433   0.8692  32.5813 271.3241
   3.000   0.3428   0.03412   0.02201  -0.0078   0.8152   0.8913  35.6586 273.9087
   3.000   0.3429   0.03412   0.02201  -0.0078   0.8152   0.8913  35.6583 273.9113
   3.000   0.3429   0.03412   0.02201  -0.0078   0.8152   0.8913  35.6583 273.9111
   3.000   0.3429   0.03412   0.02201  -0.0078   0.8152   0.8913  35.6583 273.9112
   3.000   0.3429   0.03412   0.02201  -0.0078   0.8152   0.8913  35.6583 273.9111
   4.000   0.6074   0.02666   0.01573  -0.0372   0.8115   0.8928  36.0579 274.0866
   4.000   0.6074   0.02666   0.01573  -0.0372   0.8115   0.8928  36.0580 274.0865
   4.000   0.6074   0.02666   0.01573  -0.0372   0.8115   0.8928  36.0579 274.0865
   4.000   0.6074   0.02666   0.01573  -0.0372   0.8115   0.8928  36.0579 274.0865
   4.000   0.6074   0.02666   0.01573  -0.0372   0.8115   0.8928  36.0579 274.0865
