  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23021                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.525 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.1233   0.00946   0.00164   0.0003   0.4956   0.6403  59.6517 252.5702
   0.000   0.1233   0.00946   0.00164   0.0003   0.4956   0.6402  59.6517 252.5694
   0.000   0.1233   0.00946   0.00164   0.0003   0.4956   0.6402  59.6517 252.5694
   0.000   0.1233   0.00946   0.00164   0.0003   0.4956   0.6402  59.6517 252.5694
   0.000   0.1233   0.00946   0.00164   0.0003   0.4956   0.6402  59.6517 252.5694
   1.000   0.2255   0.00969   0.00173   0.0026   0.4426   0.6900  63.8387 256.3115
   1.000   0.2255   0.00969   0.00173   0.0026   0.4426   0.6900  63.8387 256.3117
   1.000   0.2255   0.00969   0.00173   0.0026   0.4426   0.6900  63.8387 256.3117
   1.000   0.2255   0.00969   0.00173   0.0026   0.4426   0.6900  63.8387 256.3117
   1.000   0.2255   0.00969   0.00173   0.0026   0.4426   0.6900  63.8387 256.3117
   2.000   0.3275   0.00998   0.00187   0.0050   0.3955   0.7442  67.6421 260.4459
   2.000   0.3275   0.00998   0.00187   0.0050   0.3955   0.7442  67.6421 260.4456
   2.000   0.3275   0.00998   0.00187   0.0050   0.3955   0.7442  67.6421 260.4456
   2.000   0.3275   0.00998   0.00187   0.0050   0.3955   0.7442  67.6421 260.4456
   2.000   0.3275   0.00998   0.00187   0.0050   0.3955   0.7442  67.6421 260.4456
   3.000   0.4279   0.01041   0.00207   0.0076   0.3491   0.8012  71.5226 264.9729
   3.000   0.4279   0.01041   0.00207   0.0076   0.3491   0.8012  71.5226 264.9728
   3.000   0.4279   0.01041   0.00207   0.0076   0.3491   0.8012  71.5226 264.9728
   3.000   0.4279   0.01041   0.00207   0.0076   0.3491   0.8012  71.5226 264.9728
   3.000   0.4279   0.01041   0.00207   0.0076   0.3491   0.8012  71.5226 264.9728
   4.000   0.5248   0.01103   0.00240   0.0109   0.3051   0.8598  75.3920 270.2466
   4.000   0.5248   0.01103   0.00240   0.0109   0.3051   0.8598  75.3920 270.2466
   4.000   0.5248   0.01103   0.00240   0.0109   0.3051   0.8598  75.3920 270.2466
   4.000   0.5248   0.01103   0.00240   0.0109   0.3051   0.8598  75.3920 270.2466
   4.000   0.5248   0.01103   0.00240   0.0109   0.3051   0.8598  75.3920 270.2466
   5.000   0.6183   0.01185   0.00278   0.0147   0.2701   0.9075  78.6224 275.8378
   5.000   0.6183   0.01185   0.00278   0.0147   0.2701   0.9075  78.6223 275.8432
   5.000   0.6183   0.01185   0.00278   0.0147   0.2701   0.9075  78.6223 275.8432
   5.000   0.6183   0.01185   0.00278   0.0147   0.2701   0.9075  78.6223 275.8432
   5.000   0.6183   0.01185   0.00278   0.0147   0.2701   0.9075  78.6223 275.8432
   6.000   0.7092   0.01287   0.00323   0.0188   0.2396   0.9462  81.6081 282.5326
   6.000   0.7092   0.01287   0.00323   0.0188   0.2396   0.9462  81.6082 282.5347
   6.000   0.7092   0.01287   0.00323   0.0188   0.2396   0.9462  81.6082 282.5347
