  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(4)-421 a=0.5                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.275 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.2825   0.01718   0.00901  -0.0545   0.6608   0.7075  51.2665 255.4372
   0.000   0.2825   0.01718   0.00901  -0.0545   0.6608   0.7075  51.2663 255.4367
   0.000   0.2825   0.01718   0.00901  -0.0545   0.6608   0.7075  51.2663 255.4367
   0.000   0.2825   0.01718   0.00901  -0.0545   0.6608   0.7075  51.2663 255.4367
   0.000   0.2825   0.01718   0.00901  -0.0545   0.6608   0.7075  51.2663 255.4367
   1.000   0.3952   0.01753   0.00917  -0.0563   0.6541   0.7226  51.9183 256.7516
   1.000   0.3952   0.01753   0.00917  -0.0563   0.6541   0.7226  51.9183 256.7515
   1.000   0.3952   0.01753   0.00917  -0.0563   0.6541   0.7226  51.9183 256.7515
   1.000   0.3952   0.01753   0.00917  -0.0563   0.6541   0.7226  51.9183 256.7515
   1.000   0.3952   0.01753   0.00917  -0.0563   0.6541   0.7226  51.9183 256.7515
   2.000   0.4975   0.01853   0.00996  -0.0568   0.6451   0.7388  52.7886 258.1646
   2.000   0.4975   0.01853   0.00996  -0.0568   0.6451   0.7388  52.7886 258.1646
   2.000   0.4975   0.01853   0.00996  -0.0568   0.6451   0.7388  52.7886 258.1646
   2.000   0.4975   0.01853   0.00996  -0.0568   0.6451   0.7388  52.7886 258.1646
   2.000   0.4975   0.01853   0.00996  -0.0568   0.6451   0.7388  52.7886 258.1646
   3.000   0.5952   0.01979   0.01087  -0.0567   0.6357   0.7569  53.7102 259.7398
   3.000   0.5952   0.01979   0.01087  -0.0567   0.6357   0.7569  53.7102 259.7400
   3.000   0.5952   0.01979   0.01087  -0.0567   0.6357   0.7569  53.7102 259.7400
   3.000   0.5952   0.01979   0.01087  -0.0567   0.6357   0.7569  53.7102 259.7400
   3.000   0.5952   0.01979   0.01087  -0.0567   0.6357   0.7569  53.7102 259.7400
   4.000   0.6886   0.02119   0.01179  -0.0560   0.6257   0.7772  54.6960 261.5121
   4.000   0.6886   0.02119   0.01179  -0.0560   0.6257   0.7772  54.6960 261.5118
   4.000   0.6886   0.02119   0.01179  -0.0560   0.6257   0.7772  54.6960 261.5117
   4.000   0.6886   0.02119   0.01179  -0.0560   0.6257   0.7772  54.6960 261.5117
   4.000   0.6886   0.02119   0.01179  -0.0560   0.6257   0.7772  54.6960 261.5117
   7.000   1.0061   0.02150   0.01087  -0.0561   0.5940   0.8570  57.8558 268.8014
   7.000   1.0061   0.02150   0.01087  -0.0561   0.5940   0.8570  57.8558 268.8012
   7.000   1.0061   0.02150   0.01087  -0.0561   0.5940   0.8570  57.8558 268.8012
   7.000   1.0061   0.02150   0.01087  -0.0561   0.5940   0.8570  57.8558 268.8012
   7.000   1.0061   0.02150   0.01087  -0.0561   0.5940   0.8570  57.8558 268.8012
   8.000   1.1289   0.01873   0.00781  -0.0563   0.5741   0.8904  59.8792 272.2712
   8.000   1.1289   0.01873   0.00781  -0.0563   0.5741   0.8904  59.8792 272.2714
   8.000   1.1289   0.01873   0.00781  -0.0563   0.5741   0.8904  59.8792 272.2714
   8.000   1.1289   0.01873   0.00781  -0.0563   0.5741   0.8904  59.8792 272.2714
   8.000   1.1289   0.01873   0.00781  -0.0563   0.5741   0.8904  59.8792 272.2714
   9.000   1.1738   0.01764   0.00530  -0.0449   0.5408   0.9544  63.3536 282.1830
   9.000   1.1738   0.01764   0.00530  -0.0449   0.5408   0.9544  63.3536 282.1836
   9.000   1.1738   0.01764   0.00530  -0.0449   0.5408   0.9544  63.3537 282.1836
   9.000   1.1738   0.01764   0.00530  -0.0449   0.5408   0.9544  63.3537 282.1836
   9.000   1.1738   0.01764   0.00530  -0.0449   0.5408   0.9544  63.3537 282.1836
  10.000   1.2234   0.02049   0.00544  -0.0428   0.4887   1.0000  68.9158 300.0000
  10.000   1.2234   0.02049   0.00544  -0.0428   0.4887   1.0000  68.9150 300.0000
  10.000   1.2234   0.02049   0.00544  -0.0428   0.4887   1.0000  68.9149 300.0000
  10.000   1.2234   0.02049   0.00544  -0.0428   0.4887   1.0000  68.9149 300.0000
  10.000   1.2234   0.02049   0.00544  -0.0428   0.4887   1.0000  68.9149 300.0000
  11.000   1.2173   0.02721   0.00785  -0.0343   0.3729   1.0000  81.2322 300.0000
  11.000   1.2173   0.02721   0.00785  -0.0343   0.3729   1.0000  81.2287 300.0000
  11.000   1.2173   0.02721   0.00785  -0.0343   0.3729   1.0000  81.2286 300.0000
  11.000   1.2173   0.02721   0.00785  -0.0343   0.3729   1.0000  81.2286 300.0000
  11.000   1.2173   0.02721   0.00785  -0.0343   0.3729   1.0000  81.2286 300.0000
  12.000   1.1626   0.03948   0.01517  -0.0248   0.2431   1.0000  94.6947 300.0000
  12.000   1.1626   0.03948   0.01517  -0.0248   0.2431   1.0000  94.6949 300.0000
  12.000   1.1626   0.03948   0.01517  -0.0248   0.2431   1.0000  94.6948 300.0000
  12.000   1.1626   0.03948   0.01517  -0.0248   0.2431   1.0000  94.6948 300.0000
  12.000   1.1626   0.03948   0.01517  -0.0248   0.2431   1.0000  94.6948 300.0000
  13.000   1.1165   0.05324   0.02470  -0.0190   0.1086   1.0000 110.2163 300.0000
  13.000   1.1165   0.05324   0.02470  -0.0190   0.1086   1.0000 110.2171 300.0000
  13.000   1.1165   0.05324   0.02470  -0.0190   0.1086   1.0000 110.2173 300.0000
  13.000   1.1165   0.05324   0.02470  -0.0190   0.1086   1.0000 110.2173 300.0000
  13.000   1.1165   0.05324   0.02470  -0.0190   0.1086   1.0000 110.2173 300.0000
