  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 66(4)-221                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.275 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   1.000  -0.0512   0.03485   0.02432   0.0158   0.7309   0.7936  44.9003 260.9679
   1.000  -0.0513   0.03485   0.02433   0.0158   0.7309   0.7936  44.9002 260.9675
   1.000  -0.0513   0.03485   0.02432   0.0158   0.7309   0.7936  44.9002 260.9674
   1.000  -0.0513   0.03485   0.02432   0.0158   0.7309   0.7936  44.9002 260.9674
   1.000  -0.0513   0.03485   0.02432   0.0158   0.7309   0.7936  44.9002 260.9674
   2.000   0.0288   0.03493   0.02403   0.0181   0.7129   0.7980  46.6433 261.3657
   2.000   0.0288   0.03493   0.02403   0.0181   0.7129   0.7980  46.6434 261.3657
   2.000   0.0288   0.03493   0.02403   0.0181   0.7129   0.7980  46.6434 261.3657
   2.000   0.0288   0.03493   0.02403   0.0181   0.7129   0.7980  46.6434 261.3657
   2.000   0.0288   0.03493   0.02403   0.0181   0.7129   0.7980  46.6434 261.3657
   3.000   0.1480   0.03401   0.02263   0.0137   0.7009   0.8023  47.8244 261.7554
   3.000   0.1480   0.03401   0.02263   0.0137   0.7009   0.8023  47.8243 261.7552
   3.000   0.1480   0.03401   0.02263   0.0137   0.7009   0.8023  47.8243 261.7551
   3.000   0.1480   0.03401   0.02263   0.0137   0.7009   0.8023  47.8243 261.7551
   3.000   0.1480   0.03401   0.02263   0.0137   0.7009   0.8023  47.8243 261.7551
   4.000   0.2697   0.03292   0.02102   0.0090   0.6874   0.8060  49.1706 262.0836
   4.000   0.2697   0.03292   0.02102   0.0090   0.6874   0.8060  49.1707 262.0836
   4.000   0.2697   0.03292   0.02102   0.0090   0.6874   0.8060  49.1707 262.0837
   4.000   0.2697   0.03292   0.02102   0.0090   0.6874   0.8060  49.1707 262.0837
   4.000   0.2697   0.03292   0.02102   0.0090   0.6874   0.8060  49.1707 262.0837
   5.000   0.4085   0.03099   0.01879   0.0040   0.6790   0.8082  50.0140 262.2905
   5.000   0.4085   0.03099   0.01879   0.0040   0.6790   0.8082  50.0142 262.2906
   5.000   0.4085   0.03099   0.01879   0.0040   0.6790   0.8082  50.0142 262.2905
   5.000   0.4085   0.03099   0.01879   0.0040   0.6790   0.8082  50.0142 262.2905
   5.000   0.4085   0.03099   0.01879   0.0040   0.6790   0.8082  50.0142 262.2905
   7.000   0.7287   0.02090   0.00910  -0.0087   0.6491   0.8155  53.0982 262.9546
   7.000   0.7287   0.02090   0.00910  -0.0087   0.6491   0.8155  53.0968 262.9546
   7.000   0.7287   0.02090   0.00910  -0.0087   0.6491   0.8155  53.0968 262.9546
   7.000   0.7287   0.02090   0.00910  -0.0087   0.6491   0.8155  53.0968 262.9546
   7.000   0.7287   0.02090   0.00910  -0.0087   0.6491   0.8155  53.0968 262.9546
   8.000   0.7912   0.02079   0.00750  -0.0026   0.5629   0.8207  62.3693 263.4326
   8.000   0.7912   0.02079   0.00750  -0.0026   0.5629   0.8207  62.3688 263.4325
   8.000   0.7912   0.02079   0.00750  -0.0026   0.5629   0.8207  62.3688 263.4326
   8.000   0.7912   0.02079   0.00750  -0.0026   0.5629   0.8207  62.3687 263.4326
   8.000   0.7912   0.02079   0.00750  -0.0026   0.5629   0.8207  62.3687 263.4326
   9.000   0.8126   0.02399   0.00716   0.0075   0.3407   0.8273  83.8735 264.0525
   9.000   0.8126   0.02399   0.00716   0.0075   0.3407   0.8273  83.8751 264.0527
   9.000   0.8126   0.02399   0.00716   0.0075   0.3407   0.8273  83.8751 264.0527
   9.000   0.8126   0.02399   0.00716   0.0075   0.3407   0.8273  83.8751 264.0527
   9.000   0.8126   0.02399   0.00716   0.0075   0.3407   0.8273  83.8751 264.0527
  10.000   0.7850   0.03192   0.01109   0.0198   0.1029   0.8343 108.8495 264.7118
  10.000   0.7850   0.03192   0.01109   0.0198   0.1029   0.8343 108.8509 264.7119
  10.000   0.7850   0.03192   0.01109   0.0198   0.1029   0.8343 108.8508 264.7119
  10.000   0.7850   0.03192   0.01109   0.0198   0.1029   0.8343 108.8508 264.7119
  10.000   0.7850   0.03192   0.01109   0.0198   0.1029   0.8343 108.8508 264.7119
  11.000   0.8147   0.03755   0.01418   0.0250   0.0533   0.8409 117.5975 265.3445
  11.000   0.8147   0.03755   0.01418   0.0250   0.0533   0.8409 117.5981 265.3449
  11.000   0.8147   0.03755   0.01418   0.0250   0.0533   0.8409 117.5982 265.3448
  11.000   0.8147   0.03755   0.01418   0.0250   0.0533   0.8409 117.5982 265.3448
  11.000   0.8147   0.03755   0.01418   0.0250   0.0533   0.8409 117.5982 265.3448
  12.000   0.8562   0.04283   0.01726   0.0281   0.0436   0.8488 120.1389 266.1126
  12.000   0.8562   0.04283   0.01726   0.0281   0.0436   0.8489 120.1395 266.1135
  12.000   0.8562   0.04283   0.01726   0.0281   0.0436   0.8489 120.1395 266.1135
  12.000   0.8562   0.04283   0.01726   0.0281   0.0436   0.8489 120.1395 266.1135
  12.000   0.8562   0.04283   0.01726   0.0281   0.0436   0.8489 120.1395 266.1135
  13.000   0.9056   0.04765   0.01992   0.0307   0.0382   0.8580 121.7942 267.0246
  13.000   0.9056   0.04765   0.01992   0.0307   0.0382   0.8580 121.7945 267.0255
  13.000   0.9056   0.04765   0.01992   0.0307   0.0382   0.8580 121.7945 267.0255
  13.000   0.9056   0.04765   0.01992   0.0307   0.0382   0.8580 121.7945 267.0255
  13.000   0.9056   0.04765   0.01992   0.0307   0.0382   0.8580 121.7945 267.0255
  14.000   0.9719   0.05126   0.02117   0.0326   0.0344   0.8677 123.0358 268.0148
  14.000   0.9719   0.05126   0.02117   0.0326   0.0344   0.8677 123.0358 268.0143
  14.000   0.9719   0.05126   0.02117   0.0326   0.0344   0.8677 123.0358 268.0143
  14.000   0.9719   0.05126   0.02117   0.0326   0.0344   0.8677 123.0358 268.0143
  14.000   0.9719   0.05126   0.02117   0.0326   0.0344   0.8677 123.0358 268.0143
  15.000   1.0527   0.05430   0.02180   0.0338   0.0318   0.8784 124.0006 269.1713
  15.000   1.0527   0.05430   0.02180   0.0338   0.0318   0.8784 124.0006 269.1714
  15.000   1.0527   0.05430   0.02180   0.0338   0.0318   0.8784 124.0006 269.1714
  15.000   1.0527   0.05430   0.02180   0.0338   0.0318   0.8784 124.0006 269.1714
  15.000   1.0527   0.05430   0.02180   0.0338   0.0318   0.8784 124.0006 269.1714
  16.000   1.1030   0.06030   0.02578   0.0361   0.0301   0.8920 124.6321 270.7131
  16.000   1.1030   0.06030   0.02578   0.0361   0.0301   0.8920 124.6320 270.7141
  16.000   1.1030   0.06030   0.02578   0.0361   0.0301   0.8920 124.6320 270.7141
  16.000   1.1030   0.06030   0.02578   0.0361   0.0301   0.8920 124.6320 270.7141
  16.000   1.1030   0.06030   0.02578   0.0361   0.0301   0.8920 124.6320 270.7141
  17.000   1.1613   0.06656   0.02946   0.0376   0.0290   0.9081 125.0486 272.7572
  17.000   1.1613   0.06656   0.02946   0.0376   0.0290   0.9081 125.0486 272.7594
  17.000   1.1613   0.06656   0.02946   0.0376   0.0290   0.9081 125.0486 272.7593
  17.000   1.1613   0.06656   0.02946   0.0376   0.0290   0.9081 125.0486 272.7593
  17.000   1.1613   0.06656   0.02946   0.0376   0.0290   0.9081 125.0486 272.7593
  18.000   1.1258   0.08011   0.04199   0.0407   0.0288   0.9276 125.1621 275.7118
  18.000   1.1258   0.08011   0.04199   0.0407   0.0288   0.9276 125.1621 275.7111
  18.000   1.1258   0.08011   0.04199   0.0407   0.0288   0.9276 125.1621 275.7111
  18.000   1.1258   0.08011   0.04199   0.0407   0.0288   0.9276 125.1621 275.7111
  18.000   1.1258   0.08011   0.04199   0.0407   0.0288   0.9276 125.1621 275.7111
  19.000   1.0708   0.09742   0.05985   0.0399   0.0289   0.9596 125.0874 282.5707
  19.000   1.0708   0.09742   0.05985   0.0399   0.0289   0.9596 125.0874 282.5708
  19.000   1.0708   0.09742   0.05985   0.0399   0.0289   0.9596 125.0874 282.5708
  19.000   1.0708   0.09742   0.05985   0.0399   0.0289   0.9596 125.0874 282.5708
  19.000   1.0708   0.09742   0.05985   0.0399   0.0289   0.9596 125.0874 282.5708
