  
       XFOIL         Version 6.99
  
 Calculated polar for: TH 25816 HALE AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.350 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   2.000   0.4056   0.02206   0.00679  -0.0661   0.7165   0.7941  48.2050 263.0923
   2.000   0.4056   0.02206   0.00679  -0.0661   0.7165   0.7941  48.2049 263.0918
   2.000   0.4056   0.02206   0.00679  -0.0661   0.7165   0.7941  48.2049 263.0918
   2.000   0.4056   0.02206   0.00679  -0.0661   0.7165   0.7941  48.2049 263.0918
   2.000   0.4056   0.02206   0.00679  -0.0661   0.7165   0.7941  48.2049 263.0918
   3.000   0.5033   0.02279   0.00661  -0.0665   0.7076   0.8041  49.1186 264.0864
   3.000   0.5033   0.02279   0.00661  -0.0665   0.7076   0.8041  49.1186 264.0863
   3.000   0.5033   0.02279   0.00661  -0.0665   0.7076   0.8041  49.1186 264.0863
   3.000   0.5033   0.02279   0.00661  -0.0665   0.7076   0.8041  49.1186 264.0863
   3.000   0.5033   0.02279   0.00661  -0.0665   0.7076   0.8041  49.1186 264.0863
   4.000   0.6010   0.02348   0.00631  -0.0668   0.6984   0.8142  50.0628 265.0862
   4.000   0.6010   0.02348   0.00631  -0.0668   0.6984   0.8142  50.0631 265.0868
   4.000   0.6010   0.02348   0.00631  -0.0668   0.6984   0.8142  50.0631 265.0868
   4.000   0.6010   0.02348   0.00631  -0.0668   0.6984   0.8142  50.0631 265.0868
   4.000   0.6010   0.02348   0.00631  -0.0668   0.6984   0.8142  50.0631 265.0868
   5.000   0.7012   0.02399   0.00580  -0.0676   0.6891   0.8243  51.0251 266.0914
   5.000   0.7012   0.02398   0.00580  -0.0676   0.6891   0.8243  51.0253 266.0919
   5.000   0.7012   0.02398   0.00580  -0.0676   0.6891   0.8243  51.0253 266.0920
   5.000   0.7012   0.02398   0.00580  -0.0676   0.6891   0.8243  51.0253 266.0920
   5.000   0.7012   0.02398   0.00580  -0.0676   0.6891   0.8243  51.0253 266.0920
   9.000   1.0404   0.02578   0.00193  -0.0593   0.6329   0.8679  56.8644 270.5505
   9.000   1.0404   0.02578   0.00193  -0.0593   0.6329   0.8679  56.8644 270.5512
   9.000   1.0404   0.02578   0.00193  -0.0593   0.6329   0.8679  56.8644 270.5512
  11.000   1.1344   0.02926   0.00026  -0.0442   0.5757   0.8926  62.8169 273.3947
  11.000   1.1344   0.02926   0.00026  -0.0442   0.5757   0.8926  62.8168 273.3958
  11.000   1.1344   0.02926   0.00026  -0.0442   0.5757   0.8926  62.8168 273.3958
  11.000   1.1344   0.02926   0.00026  -0.0442   0.5757   0.8926  62.8168 273.3958
  11.000   1.1344   0.02926   0.00026  -0.0442   0.5757   0.8926  62.8168 273.3958
  12.000   1.1616   0.03321   0.00085  -0.0357   0.5332   0.9049  67.2161 274.9719
  12.000   1.1616   0.03321   0.00085  -0.0357   0.5332   0.9049  67.2157 274.9725
  12.000   1.1616   0.03321   0.00085  -0.0357   0.5332   0.9049  67.2157 274.9726
  12.000   1.1616   0.03321   0.00085  -0.0357   0.5332   0.9049  67.2157 274.9726
  12.000   1.1616   0.03321   0.00085  -0.0357   0.5332   0.9049  67.2157 274.9726
  13.000   1.1836   0.03755   0.00162  -0.0268   0.4754   0.9155  73.1766 276.4745
  13.000   1.1836   0.03755   0.00162  -0.0268   0.4754   0.9155  73.1764 276.4735
  13.000   1.1836   0.03755   0.00162  -0.0268   0.4754   0.9155  73.1764 276.4736
  13.000   1.1836   0.03755   0.00162  -0.0268   0.4754   0.9155  73.1764 276.4736
  13.000   1.1836   0.03755   0.00162  -0.0268   0.4754   0.9155  73.1764 276.4736
  14.000   1.1927   0.04371   0.00378  -0.0183   0.4012   0.9256  80.6977 278.0204
  14.000   1.1927   0.04371   0.00378  -0.0183   0.4012   0.9256  80.6980 278.0210
  14.000   1.1927   0.04371   0.00378  -0.0183   0.4012   0.9256  80.6980 278.0209
  14.000   1.1927   0.04371   0.00378  -0.0183   0.4012   0.9256  80.6980 278.0209
  14.000   1.1927   0.04371   0.00378  -0.0183   0.4012   0.9256  80.6980 278.0209
  15.000   1.1828   0.05161   0.00758  -0.0088   0.3272   0.9345  88.1410 279.5441
  15.000   1.1828   0.05161   0.00758  -0.0088   0.3272   0.9345  88.1416 279.5454
  15.000   1.1828   0.05161   0.00758  -0.0088   0.3272   0.9345  88.1417 279.5453
  15.000   1.1828   0.05161   0.00758  -0.0088   0.3272   0.9345  88.1417 279.5452
  15.000   1.1828   0.05161   0.00758  -0.0088   0.3272   0.9345  88.1417 279.5452
  16.000   1.1747   0.06063   0.01272  -0.0020   0.2576   0.9427  95.2601 281.0674
  16.000   1.1747   0.06063   0.01272  -0.0020   0.2576   0.9427  95.2604 281.0679
  16.000   1.1747   0.06063   0.01272  -0.0020   0.2576   0.9427  95.2604 281.0678
  16.000   1.1747   0.06063   0.01272  -0.0020   0.2576   0.9427  95.2604 281.0678
  16.000   1.1747   0.06063   0.01272  -0.0020   0.2576   0.9427  95.2604 281.0678
  17.000   1.1693   0.06990   0.01846   0.0033   0.1981   0.9505 101.5618 282.6663
  17.000   1.1693   0.06991   0.01846   0.0033   0.1981   0.9505 101.5625 282.6678
  17.000   1.1693   0.06991   0.01846   0.0033   0.1981   0.9505 101.5626 282.6677
  17.000   1.1693   0.06991   0.01846   0.0033   0.1981   0.9505 101.5626 282.6676
  17.000   1.1693   0.06991   0.01846   0.0033   0.1981   0.9505 101.5626 282.6676
  18.000   1.1698   0.07934   0.02475   0.0065   0.1533   0.9581 106.5719 284.4102
